,COD_MUNI__,perc_access,road_access,total_pop
99,915,29.0,4390.970703125,15313.6357421875
100,1201,22.0,12188.7099609375,54712.1484375
101,1402,19.0,5600.666015625,29000.1484375
102,1229,49.0,6185.759765625,12751.67578125
103,1909,3.0,841.0696411132812,31411.73046875
104,1219,19.0,10296.857421875,55024.4375
105,1506,27.0,2586.47216796875,9719.3154296875
106,1215,11.0,2520.35205078125,22287.970703125
107,905,42.0,3600.063720703125,8554.6640625
108,803,35.0,23447.623046875,67773.125
109,1505,13.0,1592.071044921875,12002.078125
110,1202,45.0,19615.65234375,43582.8984375
111,1203,37.0,7714.9990234375,21063.677734375
112,1407,25.0,1595.4561767578125,6324.3330078125
113,1406,21.0,32504.1953125,155582.5
114,2005,7.0,3524.658203125,54074.171875
115,1421,43.0,3835.84375,8992.5927734375
116,1211,18.0,3028.486083984375,16501.015625
117,1907,15.0,1804.3564453125,11871.095703125
118,924,18.0,2515.7763671875,13692.2412109375
119,802,42.0,16908.0703125,40110.53515625
120,1227,25.0,3228.59326171875,12784.271484375
121,801,29.0,41542.27734375,140893.8125
122,205,18.0,2124.427978515625,11592.669921875
123,907,30.0,3112.475830078125,10413.345703125
124,918,31.0,2475.4326171875,8091.1484375
125,406,25.0,22686.302734375,90304.9453125
126,403,14.0,11386.97265625,79777.1875
127,1214,28.0,5001.65234375,18099.76171875
128,804,17.0,6024.04248046875,36023.5703125
129,402,27.0,6860.7255859375,25420.17578125
130,201,20.0,4813.25390625,23828.267578125
131,909,15.0,8320.888671875,55070.7109375
132,2004,6.0,3653.766845703125,60091.70703125
133,112,15.0,2062.3310546875,13517.7021484375
134,908,22.0,2264.08740234375,10332.021484375
135,903,18.0,6215.7900390625,34847.14453125
136,1225,21.0,3712.950927734375,17516.6484375
137,1213,17.0,7378.3916015625,43786.4375
138,1212,18.0,7040.669921875,38597.41015625
139,1216,33.0,11904.966796875,36299.25390625
140,1221,14.0,2305.46044921875,16330.701171875
141,405,26.0,4473.6494140625,16991.751953125
142,701,29.0,36050.625,123817.5
143,923,20.0,5441.39697265625,27738.04296875
144,206,31.0,12591.001953125,40081.78515625
145,902,41.0,8309.697265625,20072.41015625
146,111,23.0,7330.287109375,31748.0546875
147,2102,11.0,7063.38525390625,63079.2109375
148,110,24.0,54019.3984375,226560.0625
149,901,46.0,74910.7578125,163954.203125
150,705,13.0,8755.3349609375,69259.9453125
151,1220,31.0,7707.46826171875,24563.171875
152,910,41.0,4624.6396484375,11193.080078125
153,1908,9.0,582.2269897460938,6224.2197265625
154,911,35.0,6671.7841796875,19323.00390625
155,914,16.0,7316.765625,44484.2890625
156,104,32.0,1983.455322265625,6252.0927734375
157,912,10.0,2653.361328125,27890.337890625
158,2101,16.0,24770.716796875,154341.328125
159,917,14.0,5992.5517578125,42789.48828125
