,COD_MUNI__,perc_access,road_access,total_pop
0,0,0.8581534814951689,716.5809936523438,835.026611328125
1,0,0.8403959852041348,1263.67529296875,1503.66650390625
2,2000,0.26085799120907227,13.601129531860352,52.139976501464844
3,1420,0.18231576194934127,18803.75,103138.3671875
4,1326,0.1537379340884541,22533.80859375,146572.859375
5,1615,0.32866436723103454,22125.5234375,67319.5078125
6,1318,0.14170894168352177,5897.0078125,41613.51953125
7,1305,0.19001291499422668,8820.078125,46418.30859375
8,1601,0.5987045605300638,146049.375,243942.3125
9,1801,0.3788268092383975,41566.94921875,109725.46875
10,1802,0.14374683453444795,6837.1435546875,47563.78515625
11,1802,0.0741087245469475,1473.83349609375,19887.44921875
12,1614,0.0867343928342059,2398.737548828125,27656.12890625
13,1325,0.022513451436018836,577.0000610351562,25629.125
14,1802,0.14374683453444795,6837.1435546875,47563.78515625
15,1802,0.0741087245469475,1473.83349609375,19887.44921875
16,1317,0.09613442993390482,4742.5859375,49332.85546875
17,1413,0.14455259681598928,12909.853515625,89309.0390625
18,1307,0.11889900003445407,5472.9794921875,46030.4921875
19,1331,0.2025083398385243,1973.509033203125,9745.322265625
20,1313,0.13301888990445554,3562.723388671875,26783.58984375
21,1405,0.10770863010184549,5961.8388671875,55351.54296875
22,1609,0.6326465009756416,146284.359375,231226.0625
23,1314,0.2875182627438778,3604.154296875,12535.392578125
24,1415,0.07739274100848902,5435.7529296875,70235.953125
25,1612,0.41210927314165574,25867.2265625,62767.8828125
26,1324,0.2750456824558449,5084.1796875,18484.85546875
27,1308,0.09283055447485374,4846.69775390625,52210.15625
28,1312,0.24190932698819578,6412.173828125,26506.517578125
29,1803,0.106744864270821,8494.3876953125,79576.546875
30,1323,0.13100685604642143,3838.699951171875,29301.51953125
31,1611,0.47504386478170707,12328.8681640625,25953.115234375
32,1804,0.2006664105809008,24279.06640625,120992.1796875
33,1302,0.1408473644530247,13687.390625,97178.890625
34,1311,0.15798122891061736,6266.0576171875,39663.3046875
35,1304,0.037442058776191174,2335.403076171875,62373.7890625
36,1419,0.1054236832818437,4027.0986328125,38199.18359375
37,1805,0.10690624773940394,7123.6953125,66634.9765625
38,1608,0.5173820862446542,36493.8203125,70535.53125
39,1607,0.3948292512782716,24708.98828125,62581.453125
40,1327,0.11155464506588876,6218.18359375,55741.14453125
41,1316,0.041200349137979715,673.3251953125,16342.7060546875
42,1309,0.12099100413935086,5581.22900390625,46129.2890625
43,1320,0.10580894441478114,3220.593017578125,30437.814453125
44,1603,0.3970632253844787,25250.5859375,63593.36328125
45,1411,0.2510174524795607,7428.57666015625,29593.865234375
46,1319,0.1057862421707558,2940.6376953125,27797.921875
47,1610,0.8325770173707399,50851.140625,61076.80078125
48,1328,0.09807919791032815,889.4956665039062,9069.1572265625
49,1321,0.12308632958204625,1071.0390625,8701.52734375
50,1410,0.11468497284081731,4373.45947265625,38134.546875
51,1207,0.1680311769430774,13515.8896484375,80436.796875
52,1329,0.2733201429708055,2044.5322265625,7480.35693359375
53,1310,0.08162326242064674,1505.2156982421875,18441.013671875
54,1602,0.6926873260454296,26864.8984375,38783.5859375
55,1301,0.3473846010463617,40010.84375,115177.3671875
56,1606,0.5012891881577775,21797.119140625,43482.125
57,1605,0.37578504922758604,7892.6787109375,21003.173828125
58,1604,0.5468271752520178,20162.99609375,36872.703125
59,1206,0.1341046394278885,8238.6787109375,61434.703125
60,1504,0.08403515254684049,5469.6025390625,65087.078125
